tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_dtr	specimen_int_mad_anc	specimen_int_n	specimen_dck	specimen_int_alpha	specimen_b_beta	specimen_dpal	specimen_f	specimen_q	specimen_dt
hw226	hw226a2	35.97	0	250	20	1.00	-	-	nan	1.93	6.00	1.94	1.00	0.10	1.46	0.89	6.76	-999.00
hw226	hw226b6	40.39	0	350	20	1.00	-	-	nan	2.29	10.00	1.45	5.17	0.03	0.64	0.73	21.53	-999.00
hw226	hw226b4	38.85	0	275	20	1.00	-	-	nan	1.57	7.00	0.98	4.03	0.06	4.19	0.51	6.23	-999.00
hw226	hw226b2	41.30	0	275	20	1.00	-	-	nan	2.05	7.00	2.00	6.03	0.01	4.23	0.57	36.16	-999.00
hw226	hw226b3	39.43	100	275	20	1.00	-	-	nan	1.67	6.00	2.29	3.20	0.08	0.14	0.58	5.23	-999.00
hw226	hw226b1	37.17	100	325	20	1.00	-	-	nan	1.41	8.00	2.89	3.07	0.03	2.29	0.51	12.63	-999.00
kf	kf031	43.68	0	200	60	1.00	-	-	nan	0.45	6.00	1.35	0.82	0.02	3.05	0.68	19.96	-999.00
kf	kf011	43.10	0	250	80	1.00	-	-	nan	1.53	5.00	0.19	3.29	0.02	0.32	0.66	19.40	-999.00
kf	kf072	41.11	0	350	60	1.00	-	-	nan	1.06	9.00	2.40	2.06	0.01	4.71	0.76	45.92	-999.00
remag-rs62	remag-rs62g	60.59	0	523	80	1.00	-	-	nan	4.52	15.00	3.78	2.25	0.07	1.99	1.06	13.88	-999.00
remag-rs62	remag-rs62a	60.47	0	523	80	1.00	-	-	nan	5.15	15.00	3.28	2.20	0.08	0.73	1.03	10.93	-999.00
remag-rs62	remag-rs62h	60.61	150	523	80	1.00	-	-	nan	3.02	14.00	3.92	1.77	0.08	2.83	1.03	11.79	-999.00
rs25	rs25c	27.34	0	534	40	1.00	0.99	-	nan	2.02	25.00	3.81	1.70	0.02	4.45	0.99	33.76	-999.00
