tab 	er_ages
age	age_culture_name	age_description	age_range_high	age_range_low	age_sigma	age_unit	astronomical_stage	biostrat_zone	conodont_zone	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	magnetic_reversal_chron	oxygen_stage	tiepoint_alternatives	tiepoint_elevation	tiepoint_height	tiepoint_height_sigma	tiepoint_name	tiepoint_type	timescale_eon	timescale_epoch	timescale_era	timescale_period	timescale_stage
			159	155		Ma				:Juarez et al. 1994:				Oxfordian Sediments, Comp.P						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Oxfordian
			159	155		Ma				:Juarez et al. 1995:				Iberian Range Sediments, Moneva S						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Oxfordian
			159	155		Ma				:Juarez et al. 1995:				Iberian Range Sediments, Aguaton P Comp.						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Oxfordian
			245	228		Ma				:Symons et al. 1995:				Muschelkalk Formation, Comp.C						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Middle Triassic	Mesozoic	Triassic	
		K-Ar: 366+/-11, 306, 303, 274 Ma.	345	318		Ma				:Symons et al. 2002:				Navan Zn-Pb Deposit						:Gradstein et al. 2004:	:GM-PMAG-APWP:									Phanerozoic	Mississippian	Paleozoic	Carboniferous	Visean - Serpukhovian
			112	94		Ma				:Marton et al. 2004:				Lusitanian, Algarve Basins Cretaceous Sediments						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Cretaceous : Late Cretaceous	Mesozoic	Cretaceous	Albian - Cenomanian
			385	359		Ma				:Katinas & Nawrocki 2004:				Skaistgirys Carbonates						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Devonian	Paleozoic	Devonian	Frasnian - Famennian
			1650	800		Ma				:Grishin et al. 1991:				Atzgarinskaya Suite, Locality 1						:Gradstein et al. 2004:	:GM-CC-STRAT:									Proterozoic		Mesoproterozoic : Neoproterozoic	Calymmian : Tonian	
			228	200		Ma				:Grishin et al. 1991:				Koryak Triassic Basalts, Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Triassic	Mesozoic	Triassic	
			472	461		Ma				:Grishin et al. 1991:				Mayljen M.Ordovician Sediments, Chingiz-Tarbagay						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Middle Ordovician	Paleozoic	Ordovician	
			416	359		Ma				:Grishin et al. 1991:				Tyuritayskaya Suite						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic		Paleozoic	Devonian	
			245	237		Ma				:Muttoni & Kent 1994:				Prezzo Limestone, Buchenstein Formation						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Middle Triassic	Mesozoic	Triassic	Anisian
			159	155		Ma				:Juarez et al. 1995:				Iberian Range Sediments, Aguaton S Comp.						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Oxfordian
			155	136		Ma				:Moreau et al. 1997:				Algarve Basin Kimmeridgian-Valanginian Sediments						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic : Early Cretaceous	Mesozoic	Jurassic : Cretaceous	Kimmeridgian - Valanginian
		K-Ar: 48+/-2, 62+/-2 Ma.	64	46		Ma				:Symons et al. 2002:				Navan Dyke, Baked Contact						:Gradstein et al. 2004:	:GM-KAR:									Phanerozoic	Paleocene : Eocene	Cenozoic	Paleogene	
			359	228		Ma				:Henry et al. 2001:				Cevennes Sediments, Comp.C						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Mississippian : Middle Triassic	Paleozoic : Mesozoic	Carboniferous : Triassic	
			385	359		Ma				:Katinas & Nawrocki 2004:				Cesis Carbonates						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Devonian	Paleozoic	Devonian	Frasnian - Famennian
		K-Ar ages 110+/-5, 100+/-4 Ma.	115	100		Ma				:Jelenska & Vincenz 1985:				Combined Cretaceous Sills, Dykes						:Gradstein et al. 2004:	:GM-KAR:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	
