tab 	pmag_results
antipodal	average_age	average_age_high	average_age_low	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_int	average_int_n	average_int_nn	average_int_rel	average_int_rel_sigma	average_int_rel_sigma_perc	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	average_sigma	conglomerate_test	contact_test	data_type	er_analyst_mail_names	er_citation_names	er_fossil_names	er_location_names	er_mineral_names	er_sample_names	er_site_names	er_specimen_names	er_synthetic_names	eta_dec	eta_inc	eta_semi_angle	external_database_ids	external_database_names	fold_test	fold_test_significance	magic_experiment_names	magic_method_codes	magic_software_packages	model_lat	model_lat_sigma	model_lon	model_lon_sigma	normal_alpha95	normal_dec	normal_inc	normal_k	normal_lat	normal_lon	normal_n	percent_reversed	pmag_criteria_codes	pmag_result_name	pmag_rotation_codes	pole_comp_name	result_description	reversal_test	reversed_alpha95	reversed_dec	reversed_inc	reversed_k	reversed_lat	reversed_lon	reversed_n	rock_magnetic_test	tilt_alpha95_corr	tilt_alpha95_uncorr	tilt_correction	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	tilt_k_corr	tilt_k_ratio	tilt_k_uncorr	tilt_n	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n	vgp_sigma	zeta_dec	zeta_inc	zeta_semi_angle
		200	161		Ma	2.9	18		37									678.4	39.9		20.2		4	27			ND	ND	i		:Mauritsch et al. 1995:		:Jurassic Limestones:									7668	GPMDB	Fo	80		:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													0		7668			AF to 60mT, thermal to 550C, characteristic component.	ND								ND	2.9	4.2	100	18	13	37	48	678.4	2.02	336.5	4								3.4	2	65	156					
		85	55		Ma	2.9	9.2		58.6									222	52		9.5		12	60			ND	ND	i		:Katz et al. 1996:		:Asphaltkalk Deposits:									8057	GPMDB	F-			:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													0		8057			Thermal to 600C, mostly AF to 90mT, high temp. high coer. comp. . IRM (sat. 0. 2T) ; HYST. Late Cretaceous to Early Tertiary age.	ND								M	6.2	2.9	0	11.8	9.2	61.6	58.6	49.3	.22	222	12								4.3	3.2	75.8	159.4					
		120	100		Ma	9.9	314.4		55.5									155.8	42.2		1.3		3	23			ND	ND	i		:Dinares-Turell & Garcia-Senz 2000:		:Organya Berriasian-Barremian Sediments, Group 2:									8567	GPMDB	ND			:LP-DC4:DE-DI:LT-T-Z:													0		8567		2	Group 2. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST. Remagnetized in Albian-Aptian.	ND								M	9.9	16.6	100	314.4	347.4	55.5	8.6	155.8		56.4	3								14.1	10.1	54.5	276.8					
		161	100		Ma	5.3	11		54									61.8	56.31		23.39		13	28			ND	ND	i		:Katinas & Nawrocki 2004:		:Skaistgirys Carbonates:									9230	GPMDB	ND			:LP-DC4:DE-DI:LT-T-Z:													0		9230			Thermal, characteristic component, 500-610C. IRM, 3-axis Jrs-T (HEM, MAGN). Late Jurassic - Early Cretaceous remagnetisation suggested.	ND								ND			0																7	5	67	179					
		359	251		Ma	13	318		39										43		103			86			ND	ND	i		:Grishin et al. 1991:		:Silurian-Devonian Rocks, Gurvan-Sayhan Range:									7351	GPMDB	F-			:LP-DC2:DE-DI:LT-T-Z:													0		7351		Post-folding	Postfolding. Thermal to 200-520C.	ND								ND			0																15.5	9.2	50	354					
		318	271		Ma	9	233		-60										49.5		76.5			90			G-	ND	i		:Grishin et al. 1991:		:Arkalyk Volcanics, Chingiz-Tarbagay, Post-folding:									7348	GPMDB	F-			:LP-DC3:DE-DI:LT-T-Z:													100		7348		Post-folding	Postfolding. Thermal to 200-540C.	ND								ND			0																13.6	10.3	53	160					
		228	200		Ma	9	187		42										62		174		5	26			ND	ND	i		:Grishin et al. 1991:		:Koryak Triassic Basalts, Sediments:									6744	GPMDB	ND			:LP-DC4:DE-DI:LT-T-Z:													0		6744			Thermal 520-540C. Bingham's statistic used for calculations.	ND								ND			100																11	6.8	-3	168					
		461	428		Ma	4	193		35									783	49		76		2	99			ND	ND	i		:Grishin et al. 1991:		:Agadyrskaya Zone Lavas, Jaspers:									6779	GPMDB	Fo			:LP-DC2:DE-DI:LT-T-Z:													0		6779			Thermal 520-540C.	ND								ND			100																4.6	2.7	-21	63					
		472	461		Ma		204		31										47		76		5	155			ND	ND	a		:Grishin et al. 1991:		:Ordovician Igneous Rocks, Combined:									6786	GPMDB	ND			:LP-DC2:DE-DI:LT-T-Z:													0		6786			Combined result. Thermal 520-540C. Combined RESULTNOS 6783-6785.	ND								ND			100																		-22	51					
		488	461		Ma	12	273		18										49		73		1	9			ND	ND	i		:Grishin et al. 1991:		:Duana-Karasu Allochton Basalts:									6793	GPMDB	ND			:LP-DC2:DE-DI:LT-T-Z:													0		6793			Thermal 520-540C. Determined from method of intersecting planes.	ND								ND			100																12.5	6.5	9	347					
