tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.20		g	24.4	2.41E-07	10		u	273			0	0	0	4.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.80		g	26.3	2.42E-07	11		u	273			2.50E-05	0	90	4.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.80		g	28	2.46E-07	12		u	273			2.50E-05	0	90	4.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				285.90		g	25.5	2.37E-07	13		u	273			0	0	0	4.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				288.50		g	31.2	2.47E-07	14		u	273			2.50E-05	0	90	4.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				289.90		g	26.5	2.29E-07	15		u	273			0	0	0	5.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.70		g	29.1	2.37E-07	16		u	273			2.50E-05	0	90	4.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				287.00		g	30.5	2.41E-07	17		u	273			2.50E-05	0	90	5.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				286.30		g	25.6	2.19E-07	18		u	273			0	0	0	5.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				285.60		g	32.3	2.30E-07	19		u	273			2.50E-05	0	90	5.48E+02
