tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b_beta	specimen_correction	specimen_dck	specimen_dpal	specimen_dt	specimen_dtr	specimen_f	specimen_frac	specimen_gmax	specimen_int	specimen_int_alpha	specimen_int_corr_anisotropy	specimen_int_corr_cooling_rate	specimen_int_corr_nlt	specimen_int_dang	specimen_int_mad	specimen_int_mad_anc	specimen_int_n	specimen_int_ptrm_n	specimen_k_prime	specimen_lab_field_dc	specimen_q	specimen_scat
This study	Hawaii	C	Hawaii 1960 Flow	C-4-4L	C-4-4L : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	793	273	K	0.04	u	2.66	0.83	-999.00	nan	0.58	0.58	0.26	3.88e-05	2.25	1.00			2.37	2.46	0.76	9	3	0.13	3.00e-05	12.11	1
This study	EPR	SBG_2352-2	BBQ	SBG_2352-2b	SBG_2352-2b : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	648	473	K	0.04	u	1.98	3.04	-999.00	nan	0.60	0.54	0.19	3.54e-05	4.20	1.00			5.64	4.11	3.22	8	3	0.27	4.00e-05	12.32	1
This study	EPR	SBG_2352-2	BBQ	SBG_2352-2e	SBG_2352-2e : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	748	473	K	0.02	u	1.20	2.21	-999.00	nan	0.52	0.50	0.18	3.74e-05	0.93	1.00			1.91	1.59	1.49	12	5	0.06	4.00e-05	19.59	1
This study	EPR	SBG_2352-2	BBQ	SBG_2352-2g	SBG_2352-2g : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	623	473	K	0.05	u	0.63	0.04	-999.00	nan	0.65	0.52	0.24	3.57e-05	3.92	1.00			4.91	4.81	2.92	7	3	0.28	4.00e-05	9.70	1
This study	EPR	SBG_2372-2	BBQ	SBG_2372-2e	SBG_2372-2e : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	609	399	K	0.01	u	1.13	1.31	-999.00	nan	0.58	0.57	0.19	3.55e-05	0.48	1.00			0.52	1.14	0.34	9	3	-0.00	4.00e-05	39.23	1
This study	EPR	SBG_2372-2	BBQ	SBG_2372-2g	SBG_2372-2g : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	725	523	K	0.03	u	1.34	2.12	-999.00	nan	0.60	0.60	0.19	3.48e-05	1.97	1.00			2.35	2.34	1.28	9	4	-0.12	4.00e-05	17.20	1
This study	EPR	SBG_2372-2	BBQ	SBG_2372-2h	SBG_2372-2h : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	725	523	K	0.02	u	1.66	4.22	-999.00	nan	0.57	0.55	0.20	3.43e-05	1.14	1.00			1.40	1.09	0.71	9	4	-0.11	4.00e-05	19.50	1
This study	EPR	SBG_2372-3	BBQ	SBG_2372-3d	SBG_2372-3d : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	748	523	K	0.07	u	3.77	4.94	-999.00	nan	0.79	0.59	0.21	3.78e-05	0.54	1.00			0.64	3.39	1.34	10	5	-0.14	4.00e-05	10.26	1
This study	EPR	SBG_2372-3	BBQ	SBG_2372-3e	SBG_2372-3e : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	648	423	K	0.05	u	1.69	1.68	-999.00	nan	0.54	0.39	0.18	3.28e-05	13.96	1.00			14.89	11.49	4.71	10	3	0.42	4.00e-05	8.73	1
This study	EPR	SBG_2392-4	BBQ	SBG_2392-4c	SBG_2392-4c : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	673	273	K	0.03	u	2.42	0.21	-999.00	nan	0.63	0.72	0.16	3.59e-05	6.07	1.00			6.53	10.97	3.42	15	3	-0.04	4.00e-05	19.04	1
This study	EPR	SBG_2392-4	BBQ	SBG_2392-4e	SBG_2392-4e : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	725	448	K	0.03	u	0.94	0.84	-999.00	nan	0.70	0.68	0.16	3.56e-05	3.06	1.00			3.54	2.44	1.51	12	4	-0.22	4.00e-05	18.77	1
This study	Sakurajima	SW01	SW	SW01-01A-2	SW01-01A-2 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	608	273	K	0.02	u	0.36	2.33	-999.00	0.81	0.72	0.72	0.34	5.05e-05	4.14	1.00			5.10	1.56	2.11	9	3	-0.09	4.50e-05	26.87	1
