tab	images
location	site	file	keywords	title	type	citations	photographers	timestamp
McMurdo	mc204	DSC_0206.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0207.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 overview of outcrop	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0208.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 overview of outcrop	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0209.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 overview of outcrop	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0210.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0211.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0212.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc204	DSC_0213.JPG	McMurdo Volcanics: paleomagnetic sampling :Cape Evans	MC204 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-28T00:00:00Z
McMurdo	mc205	DSC_0002.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0003.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0004.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0005.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0006.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0007.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0008.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0009.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0010.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0011.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0012.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc205	DSC_0013.JPG	McMurdo Volcanics: paleomagnetic sampling :Tryggve Point	MC205 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc206	DSC_0014.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc206	DSC_0015.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
